StockName,release_feature,release_ratio,6d_return,10d_return,16d_return,20d_return,30d_return,60d_return,90d_return,basic_eps
688126.SH,0.756710643,0.25,0.018457752,0.027235772,0.001668753,-0.098714417,-0.087233076,0.197518444,0.113046701,0.042
688682.SH,0.040139968,0.2,-0.175448558,-0.327051282,-0.355197696,-0.281064356,-0.274910703,-0.183647799,0.353829827,0.31
605098.SH,0.043231163,0.25,0.16519546,0.117137142,0.065411765,0.176616915,0.100339751,0.136709411,0.330185497,1.09
688201.SH,0.040260108,0.2,-0.06713323,0.187968442,0.251318422,0.280622051,0.325081967,0.25524602,0.306902357,0.3149
605016.SH,0.034501641,0.25,0.317223484,0.233709501,0.260884831,0.315447154,0.504239284,0.398914906,0.242260619,0.49
300975.SZ,0.066312544,0.1,-0.435653003,-0.507507508,-0.432239658,-0.39897817,-0.540664962,-0.60042508,-0.682681564,0.3257
603733.SH,0.732641734,0.78,0.055514706,0.071893064,0.061381074,0.027262401,0.020960366,0.149900728,0.35549423,0.86
603682.SH,0.034543342,0.18,-0.061994609,-0.109859155,-0.1145686,-0.106741573,-0.145348837,-0.190332326,-0.28548124,0.14
300828.SZ,0.034091427,0.25,-0.11678487,-0.146045609,-0.115203022,-0.149391727,-0.157843137,-0.081006865,-0.164120256,0.28
603986.SH,0.001331569,0,0.128058436,0.116596802,0.040741781,-0.004058585,-0.401477833,-0.07439577,0.072484243,1.19
601609.SH,0.176216785,0.24,-0.023529412,-0.030139935,0.005197505,0.013402062,-0.049342105,-0.106358382,-0.082579186,0.25
688788.SH,0.004060746,0.01,-0.038821693,-0.059701493,-0.075540295,-0.067562149,0.14119829,0.227869209,0.208766716,2.4183
688639.SH,0.043122122,0.22,0.183271548,0.193732845,0.17755483,0.17755483,0.329210276,0.290744467,0.399488927,0.69
688129.SH,0.000913939,0.01,-0.049710983,-0.050925926,-0.052753623,-0.049104564,-0.054587689,0.040676175,0.080506329,0.36
600496.SH,0.078516784,0.15,-0.131991051,-0.12195122,-0.155251142,-0.213429257,-0.196217494,-0.281012658,-0.237163814,0.1641
002545.SZ,0.001257446,0,0.001547122,-0.007112376,-0.032069971,-0.011428571,-0.001414427,0.059760956,0.242780749,0.1629
300680.SZ,0.014250987,0.07,-0.060594059,-0.04609375,-0.073346693,-0.179735683,-0.126156434,-0.022918258,0.060680463,0.21
002483.SZ,0.002467765,0.01,0.036190476,0.034351145,0.047080979,0.023166023,-0.054166667,0.019379845,0.003937008,0.217
300123.SZ,0.039096651,0.08,-0.080586081,-0.136071887,-0.098014888,0.104251012,0.093237705,0.27990236,0.281655844,0.05
300278.SZ,0.003665989,0.04,-0.138686131,-0.424657534,-0.380530973,-0.142857143,-0.399103139,-0.114285714,0.054545455,-0.2135
300192.SZ,0.000566511,0,-0.08015873,-0.122011542,-0.11557377,-0.110114192,-0.154368109,-0.256694367,-0.426624738,0.1688
002628.SZ,0.000935604,0.01,-0.002840909,-0.008571429,0.01396648,0.019444444,-0.014367816,-0.023188406,-0.044378698,0.08
300323.SZ,0.118231377,0.19,-0.07545045,-0.036916395,-0.064659978,-0.073033708,-0.032432432,0.145031334,0.225466342,-0.02
603583.SH,0.003113664,0,-0.01323097,-0.014888743,-0.000645265,-0.01655195,0.043779867,-0.28426501,-0.29094693,0.44
688179.SH,0.005345661,0.01,-0.061207779,-0.070521425,-0.026534653,-0.060882022,0.098591549,0.24043956,0.081502481,0.41
300978.SZ,0.0622474,0.09,-0.374943052,-0.383768913,-0.428300994,-0.495540139,-0.48816568,-0.596825397,-0.821363911,0.18
002982.SZ,0.050824806,0.21,0.015739543,-0.013993781,-0.043428571,-0.028848321,-0.015121192,-0.056712963,-0.221241306,-0.06
605289.SH,0.043920277,0.25,-0.202756508,-0.299470549,-0.271285206,-0.265957447,-0.352738546,-0.44534413,-0.595044679,0.63
002141.SZ,0.073921296,0.44,-0.014134276,0.077170418,0.122324159,0.103125,0.116923077,0.275252525,0.36784141,0.0078
600566.SH,0.072275431,0.08,0.011410788,-0.003157895,-0.047252747,-0.093709291,-0.008465608,-0.091013165,-0.181649101,0.961
002355.SZ,0.003197409,0.02,0.025356577,0.100877193,0.145833333,0.113832853,0.113832853,-0.031879195,0.111271676,-0.02
300979.SZ,0.399076033,0.07,0.015748031,0.019607843,-0.217137293,-0.126126126,-0.04427736,-0.004016064,-0.072731174,1.19
000625.SZ,0.242258934,0.05,-0.028711057,0.008244994,0.214918415,0.268144285,0.23972912,0.363086233,0.135523614,0.32
300981.SZ,0.247607059,0.24,0.134574087,0.030317613,0.033341329,0.039332539,-0.044492441,-0.121521336,-0.189609367,15.0394
300529.SZ,0.000327838,0,0.02746114,-0.020108696,0.049812696,0.061406141,0.025137634,-0.084971098,-0.291810048,0.78
300982.SZ,0.061872736,0.24,0.070043939,-0.02624073,-0.047757717,-0.04623437,0.135096154,0.27780008,0.410453875,1.09
605089.SH,0.05304992,0.25,0.248719824,0.379174853,0.576014037,0.649607642,0.652159187,0.548571429,0.37492392,0.74
688318.SH,0.030080334,0.06,0.024442847,-0.01083497,0.042834242,0.095716969,0.151923186,0.213291873,0.121941176,1.77
300743.SZ,0.010590408,0.14,-0.030726257,-0.031446541,-0.010958904,0.021220159,0.065822785,-0.256170213,-0.23,0.07
300483.SZ,0.037549023,0.17,0.003198976,0.008274984,-0.016971279,-0.016971279,-0.025,-0.060585432,-0.157503715,0.202
300686.SZ,0.001663904,0.01,-0.026993095,-0.019950125,-0.018046049,-0.042702358,-0.031525851,-0.00245098,-0.071381794,0.2186
